parameter,kategoria,kategoria_nev,statusz,forras,kapcsolo,or,doksi,hatas
beta,E,származtatott vagy technikai,horgonyzott,"standard kalibrációs konvenció: negyedéves diszkontfaktor 0,99. A .mod FIXEN beállítja — NEM más paraméterekből számolódik; ellenkezőleg, ő az INPUTJA a lam_p/lam_w-nek.",,,,aktív (a model blokkban 29 előfordulás)
delta,A,saját adat (Opten-panel),horgonyzott,"Opten-panel 2021–24 (0,0242) ÉS Christensen–Dib (2008) 1. tábla (0,025)",-DOPTEN,t46: delta megerositi,2026-08-16_opten_kalibracio_eredmeny.md,aktív
sigma,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag",,,,aktív
habit,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag",,,,aktív
fii,C,JV-strukturális / survey,horgonyzott,"Jakab–Világi, MNB WP 2008/9 (strukturális/survey)",,,,aktív
rho_kz,C,JV-strukturális / survey,horgonyzott,"Jakab–Világi, MNB WP 2008/9 (strukturális/survey)",,,,aktív
rho_z,C,JV-strukturális / survey,horgonyzott,"Jakab–Világi, MNB WP 2008/9 (strukturális/survey)",,,,aktív
xi_p,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag",,,,aktív
vth_p,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag",,,,aktív
xi_x,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag ⚠ HALOTT: a v09 egyenleteire nincs hatása (xi_x csak a szintén halott lam_x-et számolja; vth_x sehol).",,,,HALOTT — a v09 model blokkjában nem szerepel
vth_x,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag ⚠ HALOTT: a v09 egyenleteire nincs hatása (xi_x csak a szintén halott lam_x-et számolja; vth_x sehol).",,,,HALOTT — a v09 model blokkjában nem szerepel
xi_w,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag",,,,aktív
vth_w,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag",,,,aktív
theta_w,C,JV-strukturális / survey,horgonyzott,"Jakab–Világi, MNB WP 2008/9 (strukturális/survey)",,,,aktív
lam_p,E,származtatott vagy technikai,származtatott,más paraméterekből számolódik / technikai zárás,,,,örökölt: xi_p (JV) + beta
lam_x,E,származtatott vagy technikai,származtatott,más paraméterekből számolódik / technikai zárás ⚠ HALOTT: a v09 egyenleteire nincs hatása (xi_x csak a szintén halott lam_x-et számolja; vth_x sehol).,,,,HALOTT — a v09 model blokkjában nem szerepel
lam_w,E,származtatott vagy technikai,származtatott,más paraméterekből számolódik / technikai zárás,,,,"örökölt: xi_w, theta_w, fii (JV) + beta"
hx,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag",,,,aktív
mu_x,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag",,,,aktív
gam_i,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag",,,,aktív
phi_pi,C,JV-becsült (MNB WP 2008/9 poszterior),horgonyzott,"Jakab–Világi, MNB WP 2008/9, becsült poszterior átlag",,,,aktív
nu_b,C,JV-becsült (MNB WP 2008/9 poszterior),feltételes,"⚠ KÉTÉRTELMŰ: a regiszter JV-poszteriorként vette át (MNB WP 2008/9), a modellben viszont technikai NFA-/UIP-zárásként működik a lebegő rezsimben. A pontos JV-tábla és a becslési státusz ellenőrzendő.",,,,aktív
nu_uni,E,származtatott vagy technikai,származtatott,más paraméterekből számolódik / technikai zárás,-DNUUNI,,,"technikai uniózárás, nem strukturális becslés"
om_no,C,JV-strukturális / survey,horgonyzott,"Jakab–Világi, MNB WP 2008/9 (strukturális/survey)",,,,aktív
eps_qw,C,BGG (1999) konvenció,horgonyzott,Bernanke–Gertler–Gilchrist (1999) konvenció,,,,aktív
omega_nw,C,BGG (1999) konvenció,horgonyzott,Bernanke–Gertler–Gilchrist (1999) konvenció,,,,aktív
